City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,makurazaki,31.2667,130.3167,292.91,65,100,4.88,JP,1683873988
323,myrina,39.8797,25.0742,286.73,72,20,6.69,GR,1683873988
324,gadzhiyevo,69.2551,33.3362,276.25,100,100,4.0,RU,1683873797
325,balikpapan,-1.2675,116.8289,304.7,79,20,1.54,ID,1683873988
326,norilsk,69.3535,88.2027,260.61,84,51,4.3,RU,1683873923
327,luganville,-15.5333,167.1667,300.19,76,100,6.93,VU,1683873988
328,muisne,0.6,-80.0333,299.39,86,100,0.98,EC,1683873698
329,manokwari,-0.8667,134.0833,301.53,78,33,2.18,ID,1683873687
330,kapuskasing,49.4169,-82.4331,285.2,93,40,3.09,CA,1683873693
331,mineral wells,32.8085,-98.1128,298.86,83,100,4.12,US,1683873989
332,nikolayevsk-on-amure,53.1406,140.73,287.69,39,86,1.43,RU,1683873723
333,bure,10.7,37.0667,299.29,24,5,0.9,ET,1683873989
334,kerikeri,-35.2268,173.9474,284.21,82,0,2.06,NZ,1683873679
335,caleta de carquin,-11.0925,-77.6267,294.46,86,100,3.15,PE,1683873989
336,leo,11.1,-2.1,302.26,53,99,4.84,BF,1683873989
337,dolinsk,47.35,142.8,282.85,51,5,1.65,RU,1683873989
338,koysinceq,36.0821,44.6278,301.76,23,6,1.82,IQ,1683873989
339,peterhead,57.5058,-1.7981,282.37,86,100,2.75,GB,1683873971
340,kristiansund,63.1115,7.732,283.18,93,75,1.54,NO,1683873685
341,acapulco de juarez,16.8634,-99.8901,301.05,74,40,1.54,MX,1683873787
342,labytnangi,66.6572,66.4183,270.15,88,100,2.81,RU,1683873730
343,vorkuta,67.5,64.0,270.48,81,9,3.88,RU,1683873631
344,selfoss,63.9331,-20.9971,280.95,99,100,5.46,IS,1683873692
345,antsiranana,-12.2787,49.2917,301.57,57,20,6.17,MG,1683873800
346,kununurra,-15.7667,128.7333,302.14,17,77,5.66,AU,1683873872
347,campo gallo,-26.5833,-62.85,286.89,77,9,2.36,AR,1683873990
348,bandarbeyla,9.4942,50.8122,305.53,58,27,6.35,SO,1683873990
349,malango,-2.9627,119.9001,300.56,71,53,1.87,ID,1683873777
350,nuku'alofa,-21.1333,-175.2,298.34,88,20,2.57,TO,1683873696
351,meadow lake,34.8014,-106.5436,289.86,31,0,0.59,US,1683873808
352,howrah,22.5892,88.3103,307.15,62,40,3.09,IN,1683873688
353,sansanne-mango,10.3592,0.4708,302.17,62,98,1.67,TG,1683873990
354,monrovia,6.3005,-10.7969,298.02,83,100,0.54,LR,1683873707
355,saudarkrokur,65.7461,-19.6394,281.46,80,100,7.95,IS,1683873847
356,mossel bay,-34.1831,22.146,284.11,83,100,11.49,ZA,1683873807
357,bayanhongor,46.7167,100.1167,284.61,33,100,6.22,MN,1683873773
358,arar,30.9753,41.0381,302.16,15,0,5.66,SA,1683873808
359,santa elena de uairen,4.6167,-61.1333,292.06,97,100,0.9,VE,1683873864
360,balcarce,-37.8462,-58.2552,278.75,85,87,3.12,AR,1683873990
361,watsa,3.0372,29.5355,297.92,66,100,1.23,CD,1683873991
362,labasa,-16.4167,179.3833,298.15,88,23,2.82,FJ,1683873770
